#,Category,Category CN,Route Label,Chinese Name,Type,Duration (days),Price (USD),Rating,Key Destinations,Highlights,Route ID
1,Popular,最受欢迎,Chongqing City Classics,【亲子游】动物园+科技馆+渣滓洞+磁器口+嘉陵江轮渡一日游,Day Tour,1,59,5,亲子游动物园+科技馆+渣滓洞+磁器口+嘉陵江轮渡一日游,"Ancient town with 1700+ years history ;  Try local snacks: 陈麻花, 酸辣粉 ;  Traditional crafts and tea houses",132
2,Popular,最受欢迎,Wulong Three Natural Bridges,武隆天生三桥+龙水峡地缝+乌江画廊一日游【vip包车含门票】,Day Tour,1,147,5,武隆天生三桥+龙水峡地缝+乌江画廊一日游vip包车含门票,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,150
3,Popular,最受欢迎,Wulong 2-Day Small Group,武隆区2日1晚拼小团,Small Group,2,354,5,武隆区2日1晚拼小团,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,202
4,Popular,最受欢迎,Dazu Rock Carvings,【高品纯玩】重庆大足石刻宝顶山+北山石刻+博物馆一日游,Day Tour,1,44,5,高品纯玩重庆大足石刻宝顶山+北山石刻+博物馆一日游,"UNESCO World Heritage - 5,000+ Buddhist carvings ;  1,000+ years of history - Tang & Song dynasties ;  World-class stone art mastery",64
5,Popular,最受欢迎,Yangtze Three Gorges Cruise,长江三峡+重庆5日4晚私家团,Private Tour,5,2168,5,长江三峡+重庆5日4晚私家团,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,14
6,Popular,最受欢迎,Three Gorges Small Group,长江三峡+重庆6日5晚拼小团,Small Group,6,1608,5,长江三峡+重庆6日5晚拼小团,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,161
7,Popular,最受欢迎,Wulong + Fairy Mountain,【纯玩2-8团】仙女山森林公园+武隆天生三桥+乌江画廊一日游,Day Tour,1,59,5,纯玩2-8团仙女山森林公园+武隆天生三桥+乌江画廊一日游,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,120
8,Popular,最受欢迎,Fengjie Baidicheng & Qutang Gorge,奉节三峡之巅+白帝城+瞿塘峡一日游【一价全含无自费+纯玩】,Day Tour,1,88,5,奉节三峡之巅+白帝城+瞿塘峡一日游一价全含无自费+纯玩,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,115
9,Popular,最受欢迎,816 Nuclear Plant + Baiheliang,【大团小团直发】白鹤梁+816工程+武陵山一日游,Day Tour,1,29,5,大团小团直发白鹤梁+816工程+武陵山一日游,Perfect for short stay - hit all highlights in one day,195
10,Popular,最受欢迎,Dazu + Wulong Multi-Day,重庆+武隆区+大足石刻5日4晚拼小团,Small Group,5,870,5,重庆+武隆区+大足石刻5日4晚拼小团,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,497
11,Profit,最高收益,Chongqing + Three Gorges + Enshi 7-Day,长江三峡+恩施市7日6晚私家团,Private Tour,7,3643,5,长江三峡+恩施市7日6晚私家团,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,133
12,Profit,最高收益,Chongqing + Three Gorges + Wuhan 6-Day,重庆+长江三峡+武汉6日5晚自由行,Free and Easy,6,2271,5,重庆+长江三峡+武汉6日5晚自由行,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,35
13,Profit,最高收益,Chongqing + Wulong + Three Gorges 6-Day,宜昌+长江三峡+重庆+武隆区8日7晚跟团游,Group Tour,8,2522,5,宜昌+长江三峡+重庆+武隆区8日7晚跟团游,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,48
