序号,产品ID,类型,线路名称,副标题,出发地,携程价格,你的价格,评分,图片URL,标签,路线亮点（外国人关注）,你的专业评价
1,39486564,拼小团,武隆区2日1晚拼小团,8人纯玩团·赠树顶漫步+5A奇景『武陵山大裂谷+天生三桥+仙女山』+816工程丨A线4钻酒店,重庆出发,788,2400,4.8,/images/routes/route_39486564.jpg,"免费退,立即确认,0购物,成团保障,上门接,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
2,88059976,一日游,【可选游船】重庆武隆天生三桥+龙水峡地缝+乌江1日游|可包团,,重庆出发,436,1000,4.9,/images/routes/route_88059976.jpg,"立即确认,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
3,94189868,一日游,洪崖洞+长江索道+磁器口古镇+两江小渡+李子坝城市打卡一日游,,重庆出发,123,300,4.9,/images/routes/route_94189868.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
4,35497743,私家团,宜昌+长江三峡+重庆6日5晚私家团,『甄选·五星黄金系列游轮』美食街 管家式服务『饕鬄美食·住大平阳台标间』金色大厅 + 全景露台，长江 “移动宫殿”【魔幻城市重庆地标串游】【赠地道川渝火锅】24H接送,重庆出发,3847,14100,4.9,/images/routes/route_35497743.jpg,成团保障,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分4.9分，口碑很好，放心选。
5,39531806,自由行,重庆+长江三峡4日3晚自由行,暑期预售2大免1小 黄金游轮&宿180度一线江景阳台房，全程中西自助餐+赠登船晚餐+重庆行李搬运｜游轮赠送三景游&长江三峡核心景区,重庆出发,1951,6500,4.7,/images/routes/route_39531806.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
6,33000502,一日游,【可含游船8人内团】重庆武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,436,1000,4.9,/images/routes/route_33000502.jpg,"立即确认,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
7,61748785,拼小团,重庆+成都+九寨沟6日5晚拼小团,8人内经典小团+赠两江游船+川剧变脸秀+旅拍|都江堰/三星堆导游精讲+24h专车接送机/站,重庆出发,3560,10600,5.0,/images/routes/route_61748785.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
8,89546551,一日游,【8人内游船票全含】重庆武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,436,1000,4.9,/images/routes/route_89546551.jpg,"立即确认,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
9,40761746,私家团,重庆+成都6日5晚私家团,端午、暑期预售，咨询【旅行管家】下单领现金立减，提前报名享【三星堆优先出票】，赠送重庆两江夜游船票，入住精选5钻酒店｜含重庆至成都去程动车，赠重庆成都接送站,重庆出发,2659,10000,4.7,/images/routes/route_40761746.png,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
10,34215218,一日游,【晚出发|优选商务团】全景大足石刻一日游|三场大咖导游精讲,,重庆出发,308,800,4.9,/images/routes/route_34215218.jpg,"立即确认,无购物,上门接,有条件退","UNESCO World Heritage - 5,000+ Buddhist carvings | 1,000+ years of history - Tang & Song dynasties | World-class stone art mastery",大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。 宝顶山游览约3小时，穿舒适鞋，有部分爬坡。
