序号,产品ID,类型,线路名称,副标题,出发地,携程价格,天数,基础加成价,服务溢价,折扣空间,最终建议价,你的价格,评分,评论数,月销量,图片URL,标签
1,39486564,拼小团,武隆区2日1晚拼小团,8人纯玩团·赠树顶漫步+5A奇景『武陵山大裂谷+天生三桥+仙女山』+816工程丨A线4钻酒店,重庆出发,788,2,1900,200元,×1.15,2400,,4.8,23875,4823875,"https://dimg04.c-ctrip.com/images/0302v12000jmj15hw7C3F_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_-21,y_0,g_center,01EF","免费退,立即确认,0购物,成团保障,上门接,0自费"
2,88059976,一日游,【可选游船】重庆武隆天生三桥+龙水峡地缝+乌江1日游|可包团,,重庆出发,436,1,800,100元,×1.15,1000,,4.9,2523,1K,https://dimg04.c-ctrip.com/images/0356s12000rdpy4rl7375_C_420_420.jpg,"立即确认,上门接,有条件退"
3,94189868,一日游,洪崖洞+长江索道+磁器口古镇+两江小渡+李子坝城市打卡一日游,,重庆出发,123,1,200,100元,×1.15,300,,4.9,,200+,https://dimg04.c-ctrip.com/images/0356e12000mwtujw960E5_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
4,35497743,私家团,宜昌+长江三峡+重庆6日5晚私家团,『甄选·五星黄金系列游轮』美食街 管家式服务『饕鬄美食·住大平阳台标间』金色大厅 + 全景露台，长江 “移动宫殿”【魔幻城市重庆地标串游】【赠地道川渝火锅】24H接送,重庆出发,3847,6,11700,600元,×1.15,14100,,4.9,5111,5111,"https://dimg04.c-ctrip.com/images/0306u12000rdckewkDD1C_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C",成团保障
5,39531806,自由行,重庆+长江三峡4日3晚自由行,暑期预售2大免1小 黄金游轮&宿180度一线江景阳台房，全程中西自助餐+赠登船晚餐+重庆行李搬运｜游轮赠送三景游&长江三峡核心景区,重庆出发,1951,4,5300,400元,×1.15,6500,,4.7,10013,10013,"https://dimg04.c-ctrip.com/images/0586512000rj05gyz334C_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",
6,33000502,一日游,【可含游船8人内团】重庆武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,436,1,800,100元,×1.15,1000,,4.9,9224,2K,https://dimg04.c-ctrip.com/images/0352912000ll1hsh4F70B_C_420_420.jpg,"立即确认,上门接,有条件退"
7,61748785,拼小团,重庆+成都+九寨沟6日5晚拼小团,8人内经典小团+赠两江游船+川剧变脸秀+旅拍|都江堰/三星堆导游精讲+24h专车接送机/站,重庆出发,3560,6,8700,600元,×1.15,10600,,5.0,415,415,"https://dimg04.c-ctrip.com/images/0304s12000m9ww6f9DBF6_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障,0自费"
8,89546551,一日游,【8人内游船票全含】重庆武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,436,1,800,100元,×1.15,1000,,4.9,19419,1K,https://dimg04.c-ctrip.com/images/0350l12000rx88gxdF881_C_420_420.jpg,"立即确认,上门接,有条件退"
9,40761746,私家团,重庆+成都6日5晚私家团,端午、暑期预售，咨询【旅行管家】下单领现金立减，提前报名享【三星堆优先出票】，赠送重庆两江夜游船票，入住精选5钻酒店｜含重庆至成都去程动车，赠重庆成都接送站,重庆出发,2659,6,8100,600元,×1.15,10000,,4.7,417,417,"https://dimg04.c-ctrip.com/images/0301o12000se8dfdo99BD_C_420_420.png?proc=crop/m_c,w_1440,h_1440,x_0,y_241,AC11",成团保障
10,34215218,一日游,【晚出发|优选商务团】全景大足石刻一日游|三场大咖导游精讲,,重庆出发,308,1,600,100元,×1.15,800,,4.9,5895,500+,https://dimg04.c-ctrip.com/images//0584m12000n3oqjnjA543_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
